AAAA;TRIMESTRE;DEPARTAMENTO;PIB_COLOMBIA_ANUAL;PIB_COLOMBIA_TRIMESTRAL;PIB_DEPARTAMENTO_ANUAL;APORTE;PIB_DEPARTAMENTAL_TRIMESTRAL
2011;4;bolívar;684628.0;187000.0;25158.94834859299;0.03674834851714068;6871.941172705307
2011;1;boyacá;684628.0;158000.0;18968.974784455262;0.027706980702593614;4377.702951009791
2011;2;boyacá;684628.0;166000.0;18968.974784455262;0.027706980702593614;4599.35879663054
2011;3;boyacá;684628.0;173000.0;18968.974784455262;0.027706980702593614;4793.307661548695
2011;4;boyacá;684628.0;187000.0;18968.974784455262;0.027706980702593614;5181.205391385006
2011;1;caldas;684628.0;158000.0;10695.99755916757;0.01562307933529971;2468.446534977354
2011;2;caldas;684628.0;166000.0;10695.99755916757;0.01562307933529971;2593.431169659752
2011;3;caldas;684628.0;173000.0;10695.99755916757;0.01562307933529971;2702.7927250068497
2011;4;caldas;684628.0;187000.0;10695.99755916757;0.01562307933529971;2921.5158357010455
2011;1;caquetá;684628.0;158000.0;2663.5524647288967;0.0038905105615442206;614.7006687239868
2011;2;caquetá;684628.0;166000.0;2663.5524647288967;0.0038905105615442206;645.8247532163406
2011;3;caquetá;684628.0;173000.0;2663.5524647288967;0.0038905105615442206;673.0583271471502
2011;4;caquetá;684628.0;187000.0;2663.5524647288967;0.0038905105615442206;727.5254750087693
2011;1;casanare;684628.0;158000.0;11275.70955042019;0.016469834056480583;2602.233780923932
2011;2;casanare;684628.0;166000.0;11275.70955042019;0.016469834056480583;2733.9924533757767
2011;3;casanare;684628.0;173000.0;11275.70955042019;0.016469834056480583;2849.281291771141
2011;4;casanare;684628.0;187000.0;11275.70955042019;0.016469834056480583;3079.858968561869
2011;1;cauca;684628.0;158000.0;10924.12890903399;0.015956298762297174;2521.0952044429537
2011;2;cauca;684628.0;166000.0;10924.12890903399;0.015956298762297174;2648.745594541331
2011;3;cauca;684628.0;173000.0;10924.12890903399;0.015956298762297174;2760.439685877411
2011;4;cauca;684628.0;187000.0;10924.12890903399;0.015956298762297174;2983.8278685495716
2011;1;cesar;684628.0;158000.0;12872.709612456101;0.018802487792576553;2970.7930712270954
2011;2;cesar;684628.0;166000.0;12872.709612456101;0.018802487792576553;3121.2129735677076
2011;3;cesar;684628.0;173000.0;12872.709612456101;0.018802487792576553;3252.8303881157435
2011;4;cesar;684628.0;187000.0;12872.709612456101;0.018802487792576553;3516.0652172118153
2011;1;chocó;684628.0;158000.0;4031.154379957144;0.005888094527184316;930.318935295122
2011;2;chocó;684628.0;166000.0;4031.154379957144;0.005888094527184316;977.4236915125965
2011;3;chocó;684628.0;173000.0;4031.154379957144;0.005888094527184316;1018.6403532028867
2011;4;chocó;684628.0;187000.0;4031.154379957144;0.005888094527184316;1101.0736765834672
2011;1;córdoba;684628.0;158000.0;11546.80310278967;0.016865806106074643;2664.7973647597937
